store_id,store_share
ST-51,0.1401452140778122
ST-52,0.14407521708365773
ST-53,0.14264323974138526
ST-54,0.1428579429934861
ST-55,0.14312492182001146
ST-56,0.14524208258420568
ST-67,0.1419113816994416
ST-20,1.0
ST-46,0.20138663001164706
ST-47,0.19835157340272605
ST-48,0.20039243255721226
ST-49,0.20110069987303653
ST-50,0.1987686641553781
ST-35,0.14256145374243231
ST-36,0.14412785747036091
ST-37,0.14385836865695384
ST-38,0.14213663457129758
ST-40,0.1402932562295895
ST-43,0.14201873321543199
ST-75,0.14500369611393388
ST-63,0.5049113695382184
ST-64,0.49508863046178164
ST-18,0.2510692405502254
ST-19,0.2536618392588801
ST-29,0.2512244662053933
ST-68,0.24404445398550126
ST-24,0.3362666817020649
ST-25,0.3356291229881119
ST-27,0.32810419530982315
ST-22,0.49374117895347763
ST-23,0.5062588210465223
ST-31,0.16486612719274427
ST-32,0.16600445337533265
ST-33,0.1666366154347472
ST-34,0.16898278390267746
ST-44,0.1674078096996687
ST-72,0.16610221039482975
ST-60,0.3295805051839047
ST-61,0.3362715374456491
ST-62,0.3341479573704463
ST-26,1.0
ST-42,0.33322506452235895
ST-45,0.33671014976210123
ST-66,0.33006478571553977
ST-70,0.500406242484514
ST-71,0.49959375751548596
ST-21,1.0
ST-39,1.0
ST-41,0.33242633570030455
ST-65,0.33598118126201404
ST-74,0.33159248303768135
ST-30,0.20308033049542898
ST-57,0.19956960196035312
ST-58,0.20049375346884066
ST-59,0.19835747122825756
ST-69,0.1984988428471197
ST-16,0.24780145705747866
ST-17,0.24808027264884652
ST-28,0.2511669252544602
ST-73,0.25295134503921457
ST-1,0.0678635164917718
ST-10,0.06622652502701386
ST-11,0.06680654761644783
ST-12,0.06739443195784703
ST-13,0.06583256390075674
ST-14,0.06692185331193772
ST-15,0.06604046356383698
ST-2,0.06697775910369039
ST-3,0.06634095719450761
ST-4,0.06695679443178314
ST-5,0.06742413190971563
ST-6,0.06684061520829712
ST-7,0.06552333499012476
ST-8,0.06694369151184111
ST-9,0.06590681378042826
