store_id,category_name,store_cat_avg_qty
ST-1,Accessories,210.10638297872342
ST-1,Audio,154.74468085106383
ST-1,Desktop,142.0212765957447
ST-1,Laptop,154.3404255319149
ST-1,Smart Speaker,25.043478260869566
ST-1,Smartphone,180.19148936170214
ST-1,Streaming Device,43.04255319148936
ST-1,Subscription Service,111.51063829787235
ST-1,Tablet,149.29787234042553
ST-1,Wearable,136.87234042553192
ST-10,Accessories,199.95744680851064
ST-10,Audio,158.0212765957447
ST-10,Desktop,149.53191489361703
ST-10,Laptop,131.70212765957447
ST-10,Smart Speaker,32.361702127659576
ST-10,Smartphone,179.27659574468086
ST-10,Streaming Device,45.702127659574465
ST-10,Subscription Service,105.93617021276596
ST-10,Tablet,143.06382978723406
ST-10,Wearable,134.4255319148936
ST-11,Accessories,198.89361702127658
ST-11,Audio,162.70212765957447
ST-11,Desktop,144.6595744680851
ST-11,Laptop,144.72340425531914
ST-11,Smart Speaker,32.319148936170215
ST-11,Smartphone,187.48936170212767
ST-11,Streaming Device,40.46808510638298
ST-11,Subscription Service,100.42553191489361
ST-11,Tablet,149.87234042553192
ST-11,Wearable,132.19148936170214
ST-12,Accessories,213.2340425531915
ST-12,Audio,159.31914893617022
ST-12,Desktop,141.95744680851064
ST-12,Laptop,143.08510638297872
ST-12,Smart Speaker,29.404255319148938
ST-12,Smartphone,186.82978723404256
ST-12,Streaming Device,42.59574468085106
ST-12,Subscription Service,107.42553191489361
ST-12,Tablet,150.61702127659575
ST-12,Wearable,137.70212765957447
ST-13,Accessories,203.82978723404256
ST-13,Audio,157.0
ST-13,Desktop,142.87234042553192
ST-13,Laptop,141.80851063829786
ST-13,Smart Speaker,28.93617021276596
ST-13,Smartphone,190.70212765957447
ST-13,Streaming Device,38.702127659574465
ST-13,Subscription Service,103.29787234042553
ST-13,Tablet,140.7872340425532
ST-13,Wearable,126.31914893617021
ST-14,Accessories,202.10638297872342
ST-14,Audio,155.5744680851064
ST-14,Desktop,144.9787234042553
ST-14,Laptop,143.14893617021278
ST-14,Smart Speaker,30.74468085106383
ST-14,Smartphone,190.74468085106383
ST-14,Streaming Device,44.723404255319146
ST-14,Subscription Service,102.8936170212766
ST-14,Tablet,146.93617021276594
ST-14,Wearable,137.48936170212767
ST-15,Accessories,205.40425531914894
ST-15,Audio,154.59574468085106
ST-15,Desktop,142.10638297872342
ST-15,Laptop,141.6595744680851
ST-15,Smart Speaker,30.782608695652176
ST-15,Smartphone,192.25531914893617
ST-15,Streaming Device,42.148936170212764
ST-15,Subscription Service,96.0
ST-15,Tablet,147.70212765957447
ST-15,Wearable,132.08510638297872
ST-16,Accessories,197.95744680851064
ST-16,Audio,157.4468085106383
ST-16,Desktop,138.9787234042553
ST-16,Laptop,146.5744680851064
ST-16,Smart Speaker,31.19148936170213
ST-16,Smartphone,185.51063829787233
ST-16,Streaming Device,46.170212765957444
ST-16,Subscription Service,97.87234042553192
ST-16,Tablet,136.93617021276594
ST-16,Wearable,127.55319148936171
ST-17,Accessories,196.87234042553192
ST-17,Audio,158.80851063829786
ST-17,Desktop,145.74468085106383
ST-17,Laptop,142.91489361702128
ST-17,Smart Speaker,26.617021276595743
ST-17,Smartphone,187.7659574468085
ST-17,Streaming Device,39.08510638297872
ST-17,Subscription Service,100.91489361702128
ST-17,Tablet,142.51063829787233
ST-17,Wearable,130.4255319148936
ST-18,Accessories,198.29787234042553
ST-18,Audio,163.46808510638297
ST-18,Desktop,152.0
ST-18,Laptop,150.53191489361703
ST-18,Smart Speaker,28.680851063829788
ST-18,Smartphone,180.12765957446808
ST-18,Streaming Device,42.361702127659576
ST-18,Subscription Service,101.7872340425532
ST-18,Tablet,146.2340425531915
ST-18,Wearable,130.91489361702128
ST-19,Accessories,212.36170212765958
ST-19,Audio,156.08510638297872
ST-19,Desktop,149.48936170212767
ST-19,Laptop,141.51063829787233
ST-19,Smart Speaker,34.91489361702128
ST-19,Smartphone,187.80851063829786
ST-19,Streaming Device,39.38297872340426
ST-19,Subscription Service,104.61702127659575
ST-19,Tablet,144.85106382978722
ST-19,Wearable,130.7659574468085
ST-2,Accessories,207.4468085106383
ST-2,Audio,160.31914893617022
ST-2,Desktop,151.91489361702128
ST-2,Laptop,140.89361702127658
ST-2,Smart Speaker,29.19148936170213
ST-2,Smartphone,186.4255319148936
ST-2,Streaming Device,41.808510638297875
ST-2,Subscription Service,101.46808510638297
ST-2,Tablet,146.46808510638297
ST-2,Wearable,132.63829787234042
ST-20,Accessories,210.59574468085106
ST-20,Audio,155.04255319148936
ST-20,Desktop,152.9787234042553
ST-20,Laptop,144.36170212765958
ST-20,Smart Speaker,31.127659574468087
ST-20,Smartphone,188.63829787234042
ST-20,Streaming Device,41.723404255319146
ST-20,Subscription Service,92.82978723404256
ST-20,Tablet,146.25531914893617
ST-20,Wearable,125.51063829787235
ST-21,Accessories,200.5531914893617
ST-21,Audio,152.93617021276594
ST-21,Desktop,146.3404255319149
ST-21,Laptop,139.25531914893617
ST-21,Smart Speaker,27.425531914893618
ST-21,Smartphone,182.12765957446808
ST-21,Streaming Device,40.638297872340424
ST-21,Subscription Service,99.06382978723404
ST-21,Tablet,147.36170212765958
ST-21,Wearable,131.17021276595744
ST-22,Accessories,204.82978723404256
ST-22,Audio,157.7872340425532
ST-22,Desktop,142.2127659574468
ST-22,Laptop,143.40425531914894
ST-22,Smart Speaker,29.369565217391305
ST-22,Smartphone,180.36170212765958
ST-22,Streaming Device,43.851063829787236
ST-22,Subscription Service,97.36170212765957
ST-22,Tablet,146.25531914893617
ST-22,Wearable,120.14893617021276
ST-23,Accessories,208.3404255319149
ST-23,Audio,161.31914893617022
ST-23,Desktop,150.4468085106383
ST-23,Laptop,141.80851063829786
ST-23,Smart Speaker,30.608695652173914
ST-23,Smartphone,191.70212765957447
ST-23,Streaming Device,43.40425531914894
ST-23,Subscription Service,101.61702127659575
ST-23,Tablet,144.91489361702128
ST-23,Wearable,133.89361702127658
ST-24,Accessories,208.3404255319149
ST-24,Audio,156.6595744680851
ST-24,Desktop,157.5531914893617
ST-24,Laptop,145.48936170212767
ST-24,Smart Speaker,33.46808510638298
ST-24,Smartphone,187.82978723404256
ST-24,Streaming Device,47.53191489361702
ST-24,Subscription Service,99.53191489361703
ST-24,Tablet,146.12765957446808
ST-24,Wearable,133.51063829787233
ST-25,Accessories,206.85106382978722
ST-25,Audio,175.51063829787233
ST-25,Desktop,143.89361702127658
ST-25,Laptop,139.87234042553192
ST-25,Smart Speaker,32.28260869565217
ST-25,Smartphone,195.91489361702128
ST-25,Streaming Device,44.255319148936174
ST-25,Subscription Service,102.91489361702128
ST-25,Tablet,137.6595744680851
ST-25,Wearable,131.7872340425532
ST-26,Accessories,199.10638297872342
ST-26,Audio,159.38297872340425
ST-26,Desktop,149.59574468085106
ST-26,Laptop,149.85106382978722
ST-26,Smart Speaker,27.23404255319149
ST-26,Smartphone,191.36170212765958
ST-26,Streaming Device,41.93617021276596
ST-26,Subscription Service,102.0
ST-26,Tablet,147.59574468085106
ST-26,Wearable,128.6595744680851
ST-27,Accessories,206.89361702127658
ST-27,Audio,159.19148936170214
ST-27,Desktop,132.61702127659575
ST-27,Laptop,136.08510638297872
ST-27,Smart Speaker,25.148936170212767
ST-27,Smartphone,184.17021276595744
ST-27,Streaming Device,44.4468085106383
ST-27,Subscription Service,103.44680851063829
ST-27,Tablet,143.85106382978722
ST-27,Wearable,143.3404255319149
ST-28,Accessories,207.10638297872342
ST-28,Audio,154.40425531914894
ST-28,Desktop,151.14893617021278
ST-28,Laptop,145.48936170212767
ST-28,Smart Speaker,30.8
ST-28,Smartphone,190.36170212765958
ST-28,Streaming Device,44.638297872340424
ST-28,Subscription Service,101.06382978723404
ST-28,Tablet,143.70212765957447
ST-28,Wearable,136.85106382978722
ST-29,Accessories,201.29787234042553
ST-29,Audio,159.87234042553192
ST-29,Desktop,146.95744680851064
ST-29,Laptop,139.51063829787233
ST-29,Smart Speaker,29.319148936170212
ST-29,Smartphone,187.95744680851064
ST-29,Streaming Device,42.680851063829785
ST-29,Subscription Service,96.68085106382979
ST-29,Tablet,146.6595744680851
ST-29,Wearable,132.53191489361703
ST-3,Accessories,201.7872340425532
ST-3,Audio,156.48936170212767
ST-3,Desktop,140.04255319148936
ST-3,Laptop,145.93617021276594
ST-3,Smart Speaker,27.76086956521739
ST-3,Smartphone,183.87234042553192
ST-3,Streaming Device,43.5531914893617
ST-3,Subscription Service,99.61702127659575
ST-3,Tablet,150.46808510638297
ST-3,Wearable,130.93617021276594
ST-30,Accessories,198.70212765957447
ST-30,Audio,165.93617021276594
ST-30,Desktop,139.17021276595744
ST-30,Laptop,142.25531914893617
ST-30,Smart Speaker,32.702127659574465
ST-30,Smartphone,195.85106382978722
ST-30,Streaming Device,46.51063829787234
ST-30,Subscription Service,105.34042553191489
ST-30,Tablet,156.04255319148936
ST-30,Wearable,130.29787234042553
ST-31,Accessories,211.48936170212767
ST-31,Audio,158.17021276595744
ST-31,Desktop,146.5531914893617
ST-31,Laptop,143.2127659574468
ST-31,Smart Speaker,30.680851063829788
ST-31,Smartphone,190.04255319148936
ST-31,Streaming Device,40.46808510638298
